date,region,state_po,candidate,party,voteshare,version
11/1/1976,Colorado,CO,Carter,democrat,0.426099459979287,20171015
11/1/1976,Colorado,CO,McCarthy,independent,0.0240854786210978,20171015
11/1/1976,Colorado,CO,Macbride,libertarian,0.0049360112442669,20171015
11/1/1976,Colorado,CO,Bubar,prohibition,0.00266866400355082,20171015
11/1/1976,Colorado,CO,Camejo,socialist workers,0.00103750554815801,20171015
11/1/1976,Colorado,CO,Larouche,u.s. labor,0.000522451546086699,20171015
11/1/1976,Colorado,CO,Hall,communist party use,0.000372651279775115,20171015
11/1/1976,Connecticut,CT,Ford,republican,0.518814445073592,20171015
11/1/1976,Connecticut,CT,Carter,democrat,0.467337009640388,20171015
11/1/1976,Connecticut,CT,Maddox,american independent party,0.00512206469482925,20171015
11/1/1976,Connecticut,CT,Larouche,u.s. labor,0.00129043426827905,20171015
11/1/1976,Delaware,DE,Carter,democrat,0.519690887023536,20171015
11/1/1976,Delaware,DE,Ford,republican,0.465876202035291,20171015
11/1/1976,Delaware,DE,Anderson,american,0.00273720304529753,20171015
11/1/1976,Delaware,DE,Larouche,u.s. labor,0.00057290296296925,20171015
11/1/1976,Delaware,DE,Bubar,prohibition,0.00043710374211728,20171015
11/1/1976,District of Columbia,DC,Carter,democrat,0.816312266777232,20171015
11/1/1976,District of Columbia,DC,Ford,republican,0.165095066042765,20171015
11/1/1976,Florida,FL,Carter,democrat,0.519261062307836,20171015
11/1/1976,Florida,FL,Ford,republican,0.46642434483759,20171015
11/1/1976,Florida,FL,McCarthy,independent,0.00750421106121282,20171015
11/1/1976,Florida,FL,Anderson,american,0.00676848542403093,20171015
11/1/1976,Georgia,GA,Carter,democrat,0.669382948593174,20171015
11/1/1976,Georgia,GA,Ford,republican,0.330617051406826,20171015
11/1/1976,Hawaii,HI,Carter,democrat,0.505919993408879,20171015
11/1/1976,Hawaii,HI,Ford,republican,0.480612836893797,20171015
11/1/1976,Hawaii,HI,Macbride,libertarian,0.0134671696973234,20171015
11/1/1976,Idaho,ID,Ford,republican,0.59880269379231,20171015
11/1/1976,Idaho,ID,Carter,democrat,0.371185456337334,20171015
11/1/1976,Idaho,ID,Maddox,american,0.0174081635047458,20171015
11/1/1976,Idaho,ID,Macbride,libertarian,0.0104360986941678,20171015
11/1/1976,Idaho,ID,Larouche,u.s. labor,0.00216758767144181,20171015
11/1/1976,Illinois,IL,Ford,republican,0.50076843535294,20171015
11/1/1976,Illinois,IL,Carter,democrat,0.481075902689142,20171015
11/1/1976,Illinois,IL,McCarthy,independent,0.0118482649415985,20171015
11/1/1976,Illinois,IL,Hall,communist party use,0.00195921362036837,20171015
11/1/1976,Illinois,IL,Macbride,libertarian,0.00170652801506032,20171015
11/1/1976,Illinois,IL,Camejo,socialist workers,0.000765681863527745,20171015
11/1/1976,Illinois,IL,"Julius """"Jules""""",socialist labor,0.000512996258219695,20171015
11/1/1976,Illinois,IL,Larouche,u.s. labor,0.00042742627955712,20171015
11/1/1976,Indiana,IN,Ford,republican,0.533227464710709,20171015
11/1/1976,Indiana,IN,Carter,democrat,0.457003857929473,20171015
11/1/1976,Indiana,IN,Anderson,american,0.00632689624484656,20171015
11/1/1976,Indiana,IN,Camejo,socialist workers,0.00256489707534177,20171015
11/1/1976,Indiana,IN,Larouche,u.s. labor,0.000876884039629574,20171015
11/1/1976,Iowa,IA,Ford,republican,0.494694376547229,20171015
11/1/1976,Iowa,IA,Carter,democrat,0.484584965406944,20171015
11/1/1976,Iowa,IA,McCarthy,independent,0.0156780684482097,20171015
11/1/1976,Iowa,IA,Anderson,american party of iowa,0.00237707564197067,20171015
11/1/1976,Iowa,IA,Macbride,libertarian,0.001136556390472,20171015
11/1/1976,Iowa,IA,Hall,communist party use,0.000430703281396198,20171015
11/1/1976,Iowa,IA,Camejo,socialist workers,0.000204799019466069,20171015
11/1/1976,Iowa,IA,Larouche,u.s. labor,0.00018838383088291,20171015
11/1/1976,Iowa,IA,Zeidler,socialist u.s.a.,0.000182130425708374,20171015
11/1/1976,Iowa,IA,"Julius """"Jules""""",socialist labor,0.000125068103490729,20171015
11/1/1976,Kansas,KS,Ford,republican,0.524878242304339,20171015
11/1/1976,Kansas,KS,Carter,democrat,0.449363936753859,20171015
11/1/1976,Kansas,KS,McCarthy,independent,0.0137652751750022,20171015
11/1/1976,Kansas,KS,Anderson,american,0.00493190443130152,20171015
11/1/1976,Kansas,KS,Macbride,independent,0.00338468123756975,20171015
11/1/1976,Kansas,KS,Maddox,conservative,0.00221121371411867,20171015
11/1/1976,Kansas,KS,Bubar,prohibition,0.00146474638380949,20171015
11/1/1976,Kentucky,KY,Carter,democrat,0.527542492687265,20171015
11/1/1976,Kentucky,KY,Ford,republican,0.455687482757025,20171015
11/1/1976,Kentucky,KY,Anderson,american,0.00711824268169597,20171015
11/1/1976,Kentucky,KY,McCarthy,independent,0.00585789903884874,20171015
11/1/1976,Kentucky,KY,Maddox,american independent party,0.00199461590791866,20171015
11/1/1976,Kentucky,KY,Macbride,libertarian,0.000697430132751627,20171015
11/1/1976,Kentucky,KY,Larouche,u.s. labor,0.000436964825188366,20171015
11/1/1976,Kentucky,KY,Hall,communist party use,0.000364994148098518,20171015
11/1/1976,Kentucky,KY,Camejo,socialist workers,0.000299877821207702,20171015
11/1/1976,Louisiana,LA,Carter,democrat,0.51774996222746,20171015
11/1/1976,Louisiana,LA,Ford,republican,0.459882431502533,20171015
11/1/1976,Louisiana,LA,Maddox,american independent party,0.00787391095701133,20171015
11/1/1976,Louisiana,LA,Hall,communist party use,0.00580640262160996,20171015
11/1/1976,Louisiana,LA,McCarthy,independent,0.00508070015022902,20171015
11/1/1976,Louisiana,LA,Macbride,libertarian,0.00245345366268378,20171015
11/1/1976,Louisiana,LA,Camejo,socialist workers,0.00115313887847263,20171015
11/1/1976,Maine,ME,Ford,republican,0.489307780225605,20171015
11/1/1976,Maine,ME,Carter,democrat,0.480940766261947,20171015
11/1/1976,Maine,ME,McCarthy,independent,0.0225149492305908,20171015
11/1/1976,Maine,ME,Bubar,prohibition,0.00723650428185718,20171015
11/1/1976,Maryland,MD,Carter,democrat,0.530354199234364,20171015
11/1/1976,Maryland,MD,Ford,republican,0.469645800765636,20171015
11/1/1976,Massachusetts,MA,Carter,democrat,0.561115782251081,20171015
11/1/1976,Massachusetts,MA,Ford,republican,0.404417092760989,20171015
11/1/1976,Massachusetts,MA,McCarthy,independent,0.0257646734637641,20171015
11/1/1976,Massachusetts,MA,Camejo,socialist workers,0.0031944316871294,20171015
11/1/1976,Massachusetts,MA,Anderson,american,0.00296558508187056,20171015
11/1/1976,Massachusetts,MA,Larouche,u.s. labor,0.0019320462968851,20171015
11/1/1976,Massachusetts,MA,Macbride,libertarian,0.0000529919240307777,20171015
11/1/1976,Massachusetts,MA,"Julius """"Jules""""",socialist labor,0.00000745812264136871,20171015
11/1/1976,Michigan,MI,Ford,republican,0.518607510700818,20171015
11/1/1976,Michigan,MI,Carter,democrat,0.464650741183977,20171015
11/1/1976,Michigan,MI,McCarthy,independent,0.0131189427071495,20171015
11/1/1976,Michigan,MI,Macbride,libertarian,0.00148072483493492,20171015
11/1/1976,Michigan,MI,Wright,human rights,0.00095958199031107,20171015
11/1/1976,Michigan,MI,Camejo,socialist workers,0.000494031367157868,20171015
11/1/1976,Michigan,MI,Larouche,u.s. labor,0.000374083618368984,20171015
11/1/1976,Michigan,MI,"Julius """"Jules""""",socialist labor,0.00031438359728228,20171015
11/1/1976,Minnesota,MN,Carter,democrat,0.548963014588721,20171015
11/1/1976,Minnesota,MN,Ford,republican,0.420217433334821,20171015
11/1/1976,Minnesota,MN,McCarthy,mccarthy '76,0.0182006440227885,20171015
11/1/1976,Minnesota,MN,Anderson,american,0.00697050305882618,20171015
11/1/1976,Minnesota,MN,Camejo,socialist workers,0.00212776759793039,20171015
11/1/1976,Minnesota,MN,Macbride,libertarian,0.00180980762909047,20171015
11/1/1976,Minnesota,MN,Hall,communist party use,0.0005600198160858,20171015
11/1/1976,Minnesota,MN,Wright,people's,0.000325652548731212,20171015
11/1/1976,Minnesota,MN,Larouche,international development bank,0.000278471392064642,20171015
11/1/1976,Minnesota,MN,"Julius """"Jules""""",industrial government party,0.000189750303985115,20171015
11/1/1976,Minnesota,MN,Zeidler,socialist,0.000181544885434408,20171015
11/1/1976,Mississippi,MS,Carter,democrat,0.496270123244706,20171015
11/1/1976,Mississippi,MS,Ford,republican,0.477421621832663,20171015
11/1/1976,Mississippi,MS,Anderson,american,0.00869089915277398,20171015
11/1/1976,Mississippi,MS,McCarthy,independent,0.00530199508062312,20171015
11/1/1976,Mississippi,MS,Maddox,american independent party,0.00526945951925455,20171015
11/1/1976,Mississippi,MS,Camejo,socialist workers,0.00365048998555421,20171015
11/1/1976,Mississippi,MS,Macbride,libertarian,0.00339541118442458,20171015
11/1/1976,Missouri,MO,Carter,democrat,0.511049856674857,20171015
11/1/1976,Missouri,MO,Ford,republican,0.47473536036036,20171015
11/1/1976,Missouri,MO,McCarthy,independent,0.0122998566748567,20171015
11/1/1976,Montana,MT,Ford,republican,0.528399861286025,20171015
11/1/1976,Montana,MT,Carter,democrat,0.454041869718374,20171015
11/1/1976,Montana,MT,Anderson,american,0.0175582689956013,20171015
11/1/1976,Nebraska,NE,Ford,republican,0.592038882635159,20171015
11/1/1976,Nebraska,NE,Carter,democrat,0.384496719401268,20171015
11/1/1976,Nebraska,NE,McCarthy,independent,0.0154643847785493,20171015
11/1/1976,Nebraska,NE,Maddox,american independent party,0.0055673762956346,20171015
11/1/1976,Nebraska,NE,Macbride,libertarian,0.00243263688938919,20171015
11/1/1976,Nevada,NV,Ford,republican,0.501659434504349,20171015
11/1/1976,Nevada,NV,Carter,democrat,0.458098040381224,20171015
11/1/1976,Nevada,NV,Macbride,libertarian,0.00752442093166102,20171015
11/1/1976,Nevada,NV,Maddox,american independent party,0.0074154431433157,20171015
11/1/1976,New Hampshire,NH,Ford,republican,0.547468251935211,20171015
11/1/1976,New Hampshire,NH,Carter,democrat,0.434726921004514,20171015
11/1/1976,New Hampshire,NH,McCarthy,independent,0.0120573452640691,20171015
11/1/1976,New Hampshire,NH,Macbride,libertarian,0.00275596463178723,20171015
11/1/1976,New Hampshire,NH,Larouche,u.s. labor,0.000547659638367974,20171015
11/1/1976,New Hampshire,NH,Camejo,socialist workers,0.000474049471920666,20171015
11/1/1976,New Hampshire,NH,"Julius """"Jules""""",socialist labor,0.000194330839420894,20171015
11/1/1976,New Jersey,NJ,Ford,republican,0.500813409446165,20171015
11/1/1976,New Jersey,NJ,Carter,democrat,0.479239150338766,20171015
11/1/1976,New Jersey,NJ,McCarthy,independent,0.0108533102977901,20171015
11/1/1976,New Jersey,NJ,Macbride,libertarian,0.00313454561860253,20171015
11/1/1976,New Jersey,NJ,Maddox,american independent party,0.00255965223760579,20171015
11/1/1976,New Jersey,NJ,"Julius """"Jules""""",socialist labor,0.00122276803367223,20171015
11/1/1976,New Jersey,NJ,Hall,communist party use,0.000551340334227686,20171015
11/1/1976,New Jersey,NJ,Larouche,u.s. labor,0.000547359537590663,20171015
11/1/1976,New Jersey,NJ,Camejo,socialist workers,0.000392771934852936,20171015
11/1/1976,New Jersey,NJ,Wright,peace & freedom,0.000346329307421001,20171015
11/1/1976,New Jersey,NJ,Bubar,prohibition,0.000183780111409229,20171015
11/1/1976,New Jersey,NJ,Zeidler,socialist,0.000155582801896982,20171015
11/1/1976,New Mexico,NM,Ford,republican,0.507498979812285,20171015
11/1/1976,New Mexico,NM,Carter,democrat,0.482844043303968,20171015
11/1/1976,New Mexico,NM,Camejo,socialist workers,0.00590988741928515,20171015
11/1/1976,New Mexico,NM,Macbride,libertarian,0.00266449026620898,20171015
11/1/1976,New Mexico,NM,Zeidler,socialist,0.000576106003504645,20171015
11/1/1976,New Mexico,NM,Bubar,prohibition,0.000506493194747834,20171015
11/1/1976,New York,NY,Carter,democrat,0.486508328556976,20171015
11/1/1976,New York,NY,Ford,republican,0.423785538120728,20171015
11/1/1976,New York,NY,Ford,conservative,0.0412218356147374,20171015
11/1/1976,New York,NY,Carter,liberal party,0.0218037323668446,20171015
11/1/1976,New York,NY,Macbride,free libertarian,0.00182911229342818,20171015
11/1/1976,New York,NY,Hall,communist party use,0.00154013144654484,20171015
11/1/1976,New York,NY,Camejo,socialist workers,0.00104914893865898,20171015
11/1/1976,New York,NY,Larouche,labor,0.000811755746849779,20171015
11/1/1976,North Carolina,NC,Carter,democrat,0.552691867124857,20171015
11/1/1976,North Carolina,NC,Ford,republican,0.442194020404004,20171015
11/1/1976,North Carolina,NC,Anderson,american,0.00334166514691526,20171015
11/1/1976,North Carolina,NC,Macbride,libertarian,0.00132248171232477,20171015
11/1/1976,North Carolina,NC,Larouche,u.s. labor,0.000449965611899594,20171015
11/1/1976,North Dakota,ND,Ford,republican,0.516918481843745,20171015
11/1/1976,North Dakota,ND,Carter,democrat,0.457700431875362,20171015
11/1/1976,North Dakota,ND,Anderson,american,0.0124382794946655,20171015
11/1/1976,North Dakota,ND,McCarthy,independent,0.00992909709795902,20171015
11/1/1976,North Dakota,ND,Maddox,american independent party,0.000904785609536239,20171015
11/1/1976,North Dakota,ND,Macbride,libertarian,0.000861059910934115,20171015
11/1/1976,North Dakota,ND,Larouche,u.s. labor,0.000477619169346267,20171015
11/1/1976,North Dakota,ND,Hall,communist party use,0.000285898798552343,20171015
11/1/1976,North Dakota,ND,Bubar,prohibition,0.000211901462456442,20171015
11/1/1976,North Dakota,ND,Camejo,socialist workers,0.000144631156914715,20171015
11/1/1976,North Dakota,ND,Zeidler,socialist,0.000127813580529283,20171015
11/1/1976,Ohio,OH,Carter,democrat,0.488986866663942,20171015
11/1/1976,Ohio,OH,Ford,republican,0.486716315659382,20171015
11/1/1976,Ohio,OH,McCarthy,independent,0.014175312909322,20171015
11/1/1976,Ohio,OH,Maddox,american independent party,0.00377281741977046,20171015
11/1/1976,Ohio,OH,Macbride,libertarian,0.00217786055853657,20171015
11/1/1976,Ohio,OH,Hall,communist party use,0.00190173547655053,20171015
11/1/1976,Ohio,OH,Camejo,socialist workers,0.00117578195703834,20171015
11/1/1976,Ohio,OH,Larouche,u.s. labor,0.00106168269408552,20171015
11/1/1976,Ohio,OH,"Julius """"Jules""""",socialist labor,0.0000165431767181062,20171015
11/1/1976,Ohio,OH,Bubar,prohibition,0.0000150834846547439,20171015
11/1/1976,Oklahoma,OK,Ford,republican,0.499617761851443,20171015
11/1/1976,Oklahoma,OK,Carter,democrat,0.48747220190231,20171015
11/1/1976,Oklahoma,OK,McCarthy,independent,0.0129100362462474,20171015
11/1/1976,Oregon,OR,Ford,republican,0.477843934609603,20171015
11/1/1976,Oregon,OR,Carter,democrat,0.476180627570698,20171015
11/1/1976,Oregon,OR,McCarthy,independent,0.0390406223661878,20171015
11/1/1976,Oregon,OR,Anderson,american,0.00100497535625648,20171015
11/1/1976,Pennsylvania,PA,Carter,democrat,0.503956793507253,20171015
11/1/1976,Pennsylvania,PA,Ford,republican,0.477322153131058,20171015
11/1/1976,Pennsylvania,PA,McCarthy,mccarthy '76,0.0109470529587276,20171015
11/1/1976,Pennsylvania,PA,Maddox,constitution party,0.00548477997362787,20171015
11/1/1976,Pennsylvania,PA,Camejo,socialist workers,0.00065118777385757,20171015
11/1/1976,Pennsylvania,PA,Larouche,u.s. labor,0.000593838235781048,20171015
11/1/1976,Pennsylvania,PA,Hall,communist party use,0.000409237647180015,20171015
11/1/1976,Rhode Island,RI,Carter,democrat,0.554420045593594,20171015
11/1/1976,Rhode Island,RI,Ford,republican,0.441441946106034,20171015
11/1/1976,Rhode Island,RI,Macbride,libertarian,0.00174142197455332,20171015
11/1/1976,Rhode Island,RI,Camejo,socialist workers,0.00112522650663445,20171015
11/1/1976,Rhode Island,RI,Hall,communist party use,0.000813475439861271,20171015
11/1/1976,Rhode Island,RI,"Julius """"Jules""""",socialist labor,0.00045788437932311,20171015
11/1/1976,South Carolina,SC,Carter,democrat,0.561695176698236,20171015
11/1/1976,South Carolina,SC,Ford,republican,0.431293710432441,20171015
11/1/1976,South Carolina,SC,Anderson,american,0.00373294724657761,20171015
11/1/1976,South Carolina,SC,Maddox,american independent party,0.00242965525060959,20171015
11/1/1976,South Dakota,SD,Ford,republican,0.503877902606775,20171015
11/1/1976,South Dakota,SD,Carter,democrat,0.48912125263571,20171015
11/1/1976,South Dakota,SD,Macbride,libertarian,0.00538449770186046,20171015
11/1/1976,South Dakota,SD,Hall,communist party use,0.00105760980184782,20171015
11/1/1976,South Dakota,SD,Camejo,socialist workers,0.000558737253806398,20171015
11/1/1976,Tennessee,TN,Carter,democrat,0.559407483069687,20171015
11/1/1976,Tennessee,TN,Ford,republican,0.429417629742621,20171015
11/1/1976,Tennessee,TN,Anderson,independent,0.00390762057132949,20171015
11/1/1976,Tennessee,TN,McCarthy,independent,0.00338944935672261,20171015
11/1/1976,Tennessee,TN,Maddox,independent,0.00155993242776422,20171015
11/1/1976,Tennessee,TN,Macbride,independent,0.000931353490306473,20171015
11/1/1976,Tennessee,TN,Hall,independent,0.000370509352143739,20171015
11/1/1976,Tennessee,TN,Larouche,independent,0.000346802172390483,20171015
11/1/1976,Tennessee,TN,Bubar,independent,0.000299387812883972,20171015
11/1/1976,Texas,TX,Carter,democrat,0.511389568072175,20171015
11/1/1976,Texas,TX,Ford,republican,0.479704235189411,20171015
11/1/1976,Texas,TX,McCarthy,independent,0.00494071049175271,20171015
11/1/1976,Texas,TX,Anderson,american,0.00281000146369592,20171015
11/1/1976,Texas,TX,Camejo,socialist workers,0.000423145649532256,20171015
11/1/1976,Utah,UT,Ford,republican,0.624347305521989,20171015
11/1/1976,Utah,UT,Carter,democrat,0.336481787375882,20171015
11/1/1976,Utah,UT,Anderson,american,0.0245815918908832,20171015
11/1/1976,Utah,UT,McCarthy,independent,0.00721890254943479,20171015
11/1/1976,Utah,UT,Macbride,liberal party,0.00450465431674482,20171015
11/1/1976,Utah,UT,Maddox,concerned citizens,0.00214700915342801,20171015
11/1/1976,Utah,UT,Camejo,independent,0.000495179391668422,20171015
11/1/1976,Utah,UT,Hall,independent,0.000223569799969698,20171015
11/1/1976,Vermont,VT,Ford,republican,0.545872258050483,20171015
11/1/1976,Vermont,VT,Carter,democrat,0.423040532457505,20171015
11/1/1976,Vermont,VT,McCarthy,independent,0.0217561527335211,20171015
11/1/1976,Vermont,VT,Camejo,socialist workers,0.00233820186838642,20171015
11/1/1976,Vermont,VT,Larouche,u.s. labor,0.00106578503768311,20171015
11/1/1976,Virginia,VA,Ford,republican,0.492933214070641,20171015
11/1/1976,Virginia,VA,Carter,democrat,0.479582156321335,20171015
11/1/1976,Virginia,VA,Camejo,socialist workers,0.0104896959154885,20171015
11/1/1976,Virginia,VA,Anderson,american,0.00983210122715654,20171015
11/1/1976,Virginia,VA,Larouche,u.s. labor,0.00442403308243385,20171015
11/1/1976,Virginia,VA,Macbride,libertarian,0.0027387993829452,20171015
11/1/1976,Washington,WA,Ford,republican,0.49997749968821,20171015
11/1/1976,Washington,WA,Carter,democrat,0.461142604404661,20171015
11/1/1976,Washington,WA,McCarthy,independent,0.0237770437676065,20171015
11/1/1976,Washington,WA,Maddox,american independent party,0.00551900504906997,20171015
11/1/1976,Washington,WA,Macbride,libertarian,0.0032413306298673,20171015
11/1/1976,Washington,WA,Anderson,constitution party,0.000672437889496469,20171015
11/1/1976,Washington,WA,Camejo,socialist workers,0.000581793776285186,20171015
11/1/1976,Washington,WA,Larouche,u.s. labor,0.000580508044182898,20171015
11/1/1976,Washington,WA,Hall,communist party use,0.000525221563784527,20171015
11/1/1976,Washington,WA,"Julius """"Jules""""",socialist labor,0.000458363494465566,20171015
11/1/1976,West Virginia,WV,Carter,democrat,0.580695186453323,20171015
11/1/1976,West Virginia,WV,Ford,republican,0.419304813546677,20171015
11/1/1976,Wisconsin,WI,Carter,democrat,0.495033635744117,20171015
11/1/1976,Wisconsin,WI,Ford,republican,0.47826097301907,20171015
11/1/1976,Wisconsin,WI,McCarthy,independent,0.016628944633319,20171015
11/1/1976,Wisconsin,WI,Maddox,american independent party,0.00406979178960433,20171015
11/1/1976,Wisconsin,WI,Zeidler,socialist,0.00204536542466317,20171015
11/1/1976,Wisconsin,WI,Macbride,libertarian,0.00181503576772111,20171015
11/1/1976,Wisconsin,WI,Camejo,socialist workers,0.000804726136134345,20171015
11/1/1976,Wisconsin,WI,"Julius """"Jules""""",socialist labor,0.000185120323451366,20171015
11/1/1976,Wyoming,WY,Ford,republican,0.593035825076914,20171015
11/1/1976,Wyoming,WY,Carter,democrat,0.398092655251594,20171015
11/1/1980,Alabama,AL,Reagan,republican,0.487501201628402,20171015
11/1/1980,Alabama,AL,Carter,democrat,0.474488590678046,20171015
11/1/1980,Alabama,AL,Anderson,independent,0.0122815737643348,20171015
11/1/1980,Alabama,AL,Rarick,conservative,0.0111853905832574,20171015
11/1/1980,Alabama,AL,Clark,libertarian,0.00992451910645049,20171015
11/1/1980,Alabama,AL,Bubar,statesman,0.00129887646812909,20171015
11/1/1980,Alabama,AL,Hall,communist party use,0.00121392413458536,20171015
11/1/1980,Alabama,AL,Deberry,socialist workers,0.000970990268486634,20171015
11/1/1980,Alabama,AL,McReynolds,socialist,0.000749667083727977,20171015
11/1/1980,Alabama,AL,Commoner,citizens,0.000385266284579885,20171015
11/1/1980,Alaska,AK,Reagan,republican,0.543481965350753,20171015
11/1/1980,Alaska,AK,Carter,democrat,0.264079017955758,20171015
11/1/1980,Alaska,AK,Clark,libertarian,0.116627220802171,20171015
11/1/1980,Alaska,AK,Anderson,independent,0.0704029789516867,20171015
11/1/1980,Arizona,AZ,Reagan,republican,0.606088483829074,20171015
11/1/1980,Arizona,AZ,Carter,democrat,0.282446835899284,20171015
11/1/1980,Arizona,AZ,Anderson,independent,0.0880513075765637,20171015
11/1/1980,Arizona,AZ,Clark,libertarian,0.0214933434026169,20171015
11/1/1980,Arizona,AZ,Deberry,socialist workers,0.00125866044201866,20171015
11/1/1980,Arizona,AZ,Commoner,citizens,0.000630474457774803,20171015
11/1/1980,Arizona,AZ,Hall,communist party use,0.0000286059191367878,20171015
11/1/1980,Arizona,AZ,Griswold,workers world,0.00000228847353094302,20171015
11/1/1980,Arkansas,AR,Reagan,republican,0.481342722264805,20171015
11/1/1980,Arkansas,AR,Carter,democrat,0.475226306200468,20171015
11/1/1980,Arkansas,AR,Anderson,independent,0.0268248362548383,20171015
11/1/1980,Arkansas,AR,Clark,libertarian,0.0107093991991232,20171015
11/1/1980,Arkansas,AR,Commoner,citizens,0.00279972587758572,20171015
11/1/1980,Arkansas,AR,Bubar,statesman,0.00161178248816235,20171015
11/1/1980,Arkansas,AR,Hall,communist party use,0.00148522771501775,20171015
11/1/1980,California,CA,Reagan,republican,0.526975028830454,20171015
11/1/1980,California,CA,Carter,democrat,0.359194369107641,20171015
11/1/1980,California,CA,Anderson,independent,0.086173056359023,20171015
11/1/1980,California,CA,Clark,libertarian,0.0172889516387046,20171015
11/1/1980,California,CA,Commoner,citizens,0.00711248292833992,20171015
11/1/1980,California,CA,Smith,peace & freedom,0.00210953405465588,20171015
11/1/1980,California,CA,Rarick,american independent party,0.00114657708118129,20171015
11/1/1980,Colorado,CO,Reagan,republican,0.550689349487104,20171015
11/1/1980,Colorado,CO,Carter,democrat,0.31070032504538,20171015
11/1/1980,Colorado,CO,Anderson,national unity campaign,0.1102900080206,20171015
11/1/1980,Colorado,CO,Clark,libertarian,0.0217349824813204,20171015
11/1/1980,Colorado,CO,Commoner,citizens,0.00473975262780193,20171015
11/1/1980,Colorado,CO,Bubar,statesman,0.000996242981974756,20171015
11/1/1980,Colorado,CO,Pulley,socialist workers,0.000438178057326185,20171015
11/1/1980,Colorado,CO,Hall,communist party use,0.000411161298492971,20171015
11/1/1980,Connecticut,CT,Reagan,republican,0.481559570072923,20171015
11/1/1980,Connecticut,CT,Carter,democrat,0.385222056695478,20171015
11/1/1980,Connecticut,CT,Anderson,anderson coalition,0.122170825970554,20171015
11/1/1980,Connecticut,CT,Clark,libertarian,0.00609407054757748,20171015
11/1/1980,Connecticut,CT,Commoner,citizens,0.00435900262037923,20171015
11/1/1980,Delaware,DE,Reagan,republican,0.472070879372677,20171015
11/1/1980,Delaware,DE,Carter,democrat,0.44874144983621,20171015
11/1/1980,Delaware,DE,Anderson,independent,0.0691141775718383,20171015
11/1/1980,Delaware,DE,Clark,libertarian,0.00837619023371862,20171015
11/1/1980,Delaware,DE,Greaves,american,0.00169730298555595,20171015
11/1/1980,District of Columbia,DC,Carter,democrat,0.748931789819943,20171015
11/1/1980,District of Columbia,DC,Reagan,republican,0.134068284940393,20171015
11/1/1980,District of Columbia,DC,Anderson,independent,0.0927660749098563,20171015
11/1/1980,District of Columbia,DC,Commoner,citizens,0.0105009517565803,20171015
11/1/1980,District of Columbia,DC,Clark,libertarian,0.0063488777323465,20171015
11/1/1980,District of Columbia,DC,Hall,communist party use,0.00212204337249625,20171015
11/1/1980,District of Columbia,DC,Deberry,socialist workers,0.000994887543202848,20171015
11/1/1980,District of Columbia,DC,Griswold,workers world,0.000299041342465596,20171015
11/1/1980,Florida,FL,Reagan,republican,0.555191627065033,20171015
11/1/1980,Florida,FL,Carter,democrat,0.385002198307696,20171015
11/1/1980,Florida,FL,Anderson,independent,0.0514498930952525,20171015
11/1/1980,Florida,FL,Clark,libertarian,0.0082789813847684,20171015
11/1/1980,Georgia,GA,Carter,democrat,0.557961053478665,20171015
11/1/1980,Georgia,GA,Reagan,republican,0.409673065903476,20171015
11/1/1980,Georgia,GA,Anderson,independent,0.0225794633659088,20171015
11/1/1980,Georgia,GA,Clark,libertarian,0.00978641725194999,20171015
11/1/1980,Hawaii,HI,Carter,democrat,0.448021181257357,20171015
